course,module,module_index,video_title,video_url,video_index
Python,Fundamental of Tech,1,Foundations of technology,https://vimeo.com/1076667664?share=copy,1
Python,Fundamental of Tech,1,What is Application,https://vimeo.com/1076668383?share=copy,2
Python,Fundamental of Tech,1,Types of Applications,https://vimeo.com/1076668564?share=copy,3
Python,Fundamental of Tech,1,Web app technologies,https://vimeo.com/1076668758?share=copy,4
Python,Fundamental of Tech,1,CRM Application Use Case,https://vimeo.com/1076669402?share=copy,5
Python,Fundamental of Tech,1,Software Development Life Cycle,https://vimeo.com/1076669044?share=copy,6
Python,Fundamental of Tech,1,Application Development  Methodologies,https://vimeo.com/1076669486?share=copy,7
Python,Fundamental of Tech,1,Agile Methodology ,https://vimeo.com/1076669810?share=copy,8
Python,Fundamental of Tech,1,Scrum,https://vimeo.com/1076669877?share=copy,9
Python,Fundamental of Tech,1,Data Fundamentals,https://vimeo.com/1076670063?share=copy,10
Python,Fundamental of Tech,1,Cloud Computing,https://vimeo.com/1076670360?share=copy,11
Python,Python Introduction,2,Python Introduction ,https://vimeo.com/1074258676?share=copy,1
Python,Python Introduction,2,Coding Rules,https://vimeo.com/1074544905?share=copy,2
Python,Python Installation and Setup,3,Installation and Setup of Python,https://vimeo.com/1076677427?share=copy,1
Python,Python Datatypes,4,"Data types: Int, Float, string ,Bool.",https://vimeo.com/1072426425?share=copy,1
Python,Operations and Expressions,5,Arithmetic Operators,https://vimeo.com/1075225360?share=copy,1
Python,Operations and Expressions,5,Relational Operators,https://vimeo.com/1075264159?share=copy,2
Python,Operations and Expressions,5,Logical Operators,https://vimeo.com/1075253019?share=copy,3
Python,Operations and Expressions,5,Arithmetic Expressions Lab,https://vimeo.com/1075248959?share=copy,4
Python,Operations and Expressions,5,Relational Expression Lab,https://vimeo.com/1075263246?share=copy,5
Python,Operations and Expressions,5,Logical Expression Lab,https://vimeo.com/1075261992?share=copy,6
Python,Operations and Expressions,5,Membership Expressions Lab,https://vimeo.com/1075267800?share=copy,7
Python,Operations and Expressions,5,Identity Expression Lab,https://vimeo.com/1075249075?share=copy,8
Python,Operations and Expressions,5,Bitwise Operators and Expressions,https://vimeo.com/1075261138?share=copy,9
Python,Operations and Expressions,5,Arithmetic Assignment Operators,https://vimeo.com/1075264772?share=copy,10
Python,Operations and Expressions,5,Arithmetic Assignment Datatypes,https://vimeo.com/1075224479?share=copy,11
Python,Conditional Statements,6,Conditional Statements Intro,https://vimeo.com/1075225238?share=copy,1
Python,Conditional Statements,6,Simple IF & IF ELSE Lab,https://vimeo.com/1075226024?share=copy,2
Python,Conditional Statements,6,Nested IF & ELIF Lab,https://vimeo.com/1075225464?share=copy,3
Python,Conditional Statements,6,Different Ways to Write Conditional Statements,https://vimeo.com/1075223769?share=copy,4
Python,Conditional Statements,6,Real Time Bank Scenario,https://vimeo.com/1075225704?share=copy,5
Python,Conditional Statements,6,Ternary IF Statements,https://vimeo.com/1075225569?share=copyIF,6
Python,Conditional Statements,6,IF Statement WITH IN & NOT IN,https://vimeo.com/1075225630?share=copy,7
Python,LOOPS,7,Introduction for loops,https://vimeo.com/1076338119?share=copy,1
Python,LOOPS,7,For and While loop basics lab,https://vimeo.com/1076341076?share=copy,2
Python,LOOPS,7,Finding sum and counting loops,https://vimeo.com/1076356677?share=copy,3
Python,LOOPS,7,Finding maximum and minimum with for loop,https://vimeo.com/1076359120?share=copy,4
Python,LOOPS,7,For loop on different collections,https://vimeo.com/1076359804?share=copy,5
Python,LOOPS,7,"Break, Continue and Pass",https://vimeo.com/1076362158?share=copy,6
Python,Strings and string Methods,8,Strings Intro ,https://vimeo.com/1076365774?share=copy,1
Python,Strings and string Methods,8,String Methods ,https://vimeo.com/1076368865?share=copy,2
Python,Strings and string Methods,8,String Methods part 2,https://vimeo.com/1076371766?share=copy,3
Python,Strings and string Methods,8,String Methods part 3,https://vimeo.com/1076664331?share=copy,4
Python,Strings and string Methods,8,String Methods part 4,https://vimeo.com/1076665048?share=copy,5
Python,List and Tuple Operations,9,List and Tuple Introduction,https://vimeo.com/1072431161?share=copy,1
Python,List and Tuple Operations,9,List and tuple Operations ,https://vimeo.com/1076699548?share=copy,2
Python,List and Tuple Operations,9,List Operations Lab,https://vimeo.com/1072432604?share=copy,3
Python,List and Tuple Operations,9,Tuple Operations Lab,https://vimeo.com/1072433501?share=copy,4
Python,Sets and Dictionary Operations,10,Introduction to Sets and Dictionary,https://vimeo.com/1072434469?share=copy,1
Python,Sets and Dictionary Operations,10,Set and Dictionary Operations Lab,https://vimeo.com/1093597375?share=copy,2
Python,Functions in Python ,11,Functions Introduction,https://vimeo.com/1076680214?share=copy,1
Python,Functions in Python ,11,Transformation Functions,https://vimeo.com/1076693157?share=copy,2
Python,Analytics Functions in python,12,Statistical Function,https://vimeo.com/1084218194?fl=pl&fe=sh,1
Python,Analytics Functions in python,12,Correlation and covariance functions,https://vimeo.com/1084218528?fl=pl&fe=sh,2
Python,Exception Handling with Python ,13,Exception Handling in Python,https://vimeo.com/1076707186?share=copy,1
Python,File  Handling With Python,14,File Modes,https://vimeo.com/1072440635?share=copy,1
Python,File  Handling With Python,14,Joining of Files,https://vimeo.com/1072442076?share=copy,2
